aff_no,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,hindi_mrk(10),eng_mrk(10),socil_mrk(10),sci_mrk(10),skt_mrk(10),math_mrk(10),perc(total_avg),site_sel,G1_11F,G2 _11S,G3_12
530546,MS,F,18,R,GT3,T,1,1,other,other,home,mother,4,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,2,4,2,59,72,22,93,67,56,61.5,Comm&Mgmt,59,62,74
530547,MS,F,20,U,GT3,T,4,2,health,other,course,other,2,3,2,no,yes,yes,no,no,yes,yes,yes,5,4,3,1,1,3,4,80,67,52,53,78,69,66.5,Comm&Mgmt,66.5,70.4,84.2
530548,MS,F,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,4,3,3,4,2,4,43,62,64,37,73,90,61.5,Comm&Mgmt,64,80,86.5
530549,MS,F,18,U,GT3,T,3,3,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,1,3,1,2,1,0,61,5,71,72,56,30,49.16666667,Arts,84,90.9,61
530550,MS,F,17,R,GT3,T,3,1,at_home,other,reputation,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,5,4,2,3,1,17,63,94,14,59,66,75,61.83333333,Comm&Mgmt,69,62,80
530551,MS,M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no,yes,yes,no,yes,yes,no,3,2,4,1,4,2,4,21,49,48,51,70,4,40.5,Arts,69,62,54
530552,MS,M,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4,4,3,1,3,5,5,80,17,19,6,72,88,47,Arts,81.7,63,83
530553,MS,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,3,2,70,31,60,21,54,76,52,Arts,63,67,80.92
530554,MS,M,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,no,no,no,no,yes,yes,no,no,4,3,2,1,3,5,0,5,22,48,33,32,70,35,Arts,40,79,69.7
530555,MS,M,18,R,GT3,T,4,2,other,other,home,father,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,4,3,3,14,13,88,92,25,83,98,66.5,Comm&Mgmt,70,63,73
530556,MS,F,18,R,GT3,T,2,2,at_home,other,other,mother,2,3,0,no,no,yes,no,yes,yes,no,no,5,3,3,1,3,4,2,20,45,59,73,62,90,58.16666667,Arts,83.84,89.83,82
530557,MS,F,18,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,3,2,2,5,7,32,89,91,20,76,58,61,Comm&Mgmt,62,63,75
530558,MS,F,19,R,GT3,T,2,3,services,other,course,mother,1,3,1,no,no,no,yes,no,yes,yes,no,5,4,2,1,2,5,0,7,16,28,17,96,82,41,Arts,59.6,51,84.86
530559,MS,F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,1,1,1,0,25,15,46,25,10,22,84,Sci&Tech,66,62,64.6
530560,MS,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,no,no,no,yes,yes,yes,no,no,1,1,1,1,1,5,0,65,70,58,4,67,78,57,Arts,84,75,56.6
530561,MS,M,20,U,LE3,A,2,2,services,services,course,other,1,2,2,no,yes,yes,no,yes,yes,no,no,5,5,4,4,5,4,11,16,30,79,51,60,93,54.83333333,Arts,85,90,59
530562,MS,M,17,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,no,no,yes,yes,no,2,4,5,3,4,2,3,52,82,33,92,31,72,60.33333333,Comm&Mgmt,52,57,66.5
530563,MS,M,21,R,GT3,T,1,1,other,other,course,other,1,1,3,no,no,no,no,no,yes,no,no,5,5,3,3,3,3,3,87,13,24,82,47,16,44.83333333,Arts,60.23,69,64
530564,MS,M,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no,no,no,no,yes,yes,no,4,4,1,3,4,5,0,12,77,94,38,15,75,51.83333333,Arts,52,62,84
530565,MS,M,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,3,3,3,5,5,16,1,79,84,60,78,53,Arts,58,62,69
1130144,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,39,25,26,82,76,26,45.66666667,Arts,67,91,69
930205,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,45,84,65,46,94,27,60.16666667,Comm&Mgmt,79.33,78.33,81.7
1630448,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,71,90,68,55,69,25,63,Comm&Mgmt,65,68,63
2752028,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,36,20,99,88,64,43,58.33333333,Arts,56,52,84
2220160,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,99,49,73,90,22,99,72,Comm&Mgmt,85.8,73.6,70
2132343,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,44,37,14,30,98,39,43.66666667,Arts,55,49.8,83.84
330018,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,58,40,30,71,47,21,44.5,Arts,46,49.2,62
2730281,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,89,97,48,87,74,14,68.16666667,Comm&Mgmt,82,64,59.6
1030210,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,92,19,77,4,62,36,48.33333333,Arts,73,79,66
3430197,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,77,65,19,94,20,44,53.16666667,Arts,58,70,84
530469,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,62,85,73,33,34,30,52.83333333,Arts,58,61,85
1700018,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,70,0,49,54,59,28,43.33333333,Arts,69.6,68.4,52
1130499,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,92,92,94,20,95,18,68.5,Comm&Mgmt,47,55,60.23
1630822,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,90,49,88,60,38,12,56.16666667,Arts,77,87,52
930557,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,29,48,74,93,35,22,50.16666667,Arts,62,47,58
830770,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,87,49,35,73,81,4,54.83333333,Arts,65,75,73
2730550,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,60,1,15,37,31,72,36,Arts,63,66.2,76
2132804,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,15,13,11,13,37,20,84,Sci&Tech,55,67,70.5
3330107,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,44,35,98,34,8,53,45.33333333,Arts,63,66,69
1030583,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,53,40,60,52,39,20,44,Arts,60,67,54
5230004,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,61,70,86,59,91,80,74.5,Sci&Tech,62,65,67
1730187,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,85,13,40,18,17,35,34.66666667,Comm&Mgmt,79,76,79.33
1520105,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,92,3,69,39,31,25,43.16666667,Comm&Mgmt,69.8,60.8,65
830298,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,19,41,14,98,68,67,51.16666667,Comm&Mgmt,77.4,60,56
2131639,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,18,35,70,90,82,96,65.16666667,Comm&Mgmt,76.5,97.7,85.8
2400029,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,12,35,37,32,70,66,42,Comm&Mgmt,52.58,54.6,55
531264,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,36,72,88,74,70,59,66.5,Comm&Mgmt,71,79,46
3600021,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,33,92,14,54,12,41,41,Comm&Mgmt,63,67,82
1930304,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,41,85,45,99,45,95,68.33333333,Comm&Mgmt,76.76,76.5,73
1730538,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,28,45,30,14,88,58,43.83333333,Comm&Mgmt,62,67,58
2130293,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,26,32,8,19,70,55,35,Comm&Mgmt,64,73.5,58
730027,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,81,61,90,20,56,46,59,Comm&Mgmt,67,53,69.6
130007,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,72,82,92,63,85,30,70.66666667,Comm&Mgmt,61,81,47
931044,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,81,74,16,30,70,40,51.83333333,Comm&Mgmt,87,65,77
2131989,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,97,96,96,39,93,91,85.33333333,Sci&Tech,62,51,62
2520046,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,96,49,52,84,8,28,52.83333333,Comm&Mgmt,69,78,65
6230002,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,71,34,85,94,8,3,49.16666667,Comm&Mgmt,51,44,63
430042,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,80,6,25,68,51,11,40.16666667,Comm&Mgmt,79,76,55
3530229,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,53,83,54,98,74,97,76.5,Sci&Tech,73,58,63
1820078,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,11,56,80,40,60,58,50.83333333,Comm&Mgmt,81,68,60
3630054,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,29,21,14,70,71,48,84,Sci&Tech,48,77,62
1930154,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,19,52,22,81,86,56,52.66666667,Comm&Mgmt,74,63.16,79
1730595,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,50,58,87,69,59,21,58,Comm&Mgmt,49,39,69.8
830354,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,56,85,34,99,65,98,72.83333333,Comm&Mgmt,87,87,77.4
240026,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,84,91,94,47,87,33,72.66666667,Comm&Mgmt,47,73,76.5
2131496,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,26,53,44,50,32,23,38,Comm&Mgmt,76,64,52.58
2400049,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,70,63,59,25,56,62,55.83333333,Comm&Mgmt,70.89,71.98,71
430178,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,63,16,15,24,62,62,40.33333333,Comm&Mgmt,63,60,63
3530161,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,83,82,7,31,92,38,55.5,Comm&Mgmt,63,62,76.76
1820015,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,85,83,69,67,29,11,57.33333333,Comm&Mgmt,50,37,62
1930327,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,96,95,83,39,71,85,78.16666667,Sci&Tech,75.2,73.2,64
800023,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,96,91,50,91,43,17,64.66666667,Comm&Mgmt,54.4,61.12,67
2620061,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,19,98,61,86,87,51,67,Comm&Mgmt,40.89,45.83,61
2131926,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,90,31,72,57,53,55,59.66666667,Comm&Mgmt,80,70,87
3430255,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,57,57,62,36,86,46,57.33333333,Comm&Mgmt,74,60,62
1030066,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,38,49,38,64,21,91,50.16666667,Comm&Mgmt,60.4,66.6,69
1631137,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,63,40,93,86,86,8,62.66666667,Comm&Mgmt,63,71.4,51
930263,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,86,75,86,44,91,96,79.66666667,Sci&Tech,68,76,79
1100035,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,16,44,26,94,57,85,53.66666667,Comm&Mgmt,74,62,73
2220015,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,34,79,63,59,69,92,66,Comm&Mgmt,52.6,65.58,81
2752090,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,44,50,94,36,77,89,65,Comm&Mgmt,74,70,78
2730136,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,82,36,31,13,77,7,41,Comm&Mgmt,84.2,73.4,74
2132398,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,49,27,83,9,68,24,43.33333333,Comm&Mgmt,44,64.2,49
2752051,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,36,93,54,72,98,44,66.16666667,Comm&Mgmt,61,70,87
1030528,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,28,12,87,71,15,57,45,Comm&Mgmt,80,73,77
3330246,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,18,70,15,36,18,21,84,Sci&Tech,54,47,76
1730119,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,49,14,62,10,19,8,84,Sci&Tech,83,74,70.89
930695,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,53,45,40,7,28,56,38.16666667,Comm&Mgmt,80.92,78.5,63
1130434,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,26,45,9,79,37,80,46,Comm&Mgmt,69.7,47,63
1700039,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,41,98,56,74,69,42,63.33333333,Comm&Mgmt,73,73,50
830707,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,34,10,24,10,19,70,84,Sci&Tech,82,61,75.2
2132739,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,4,60,18,24,19,31,84,Sci&Tech,75,70.29,54.4
2730688,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,65,38,42,57,76,77,59.16666667,Comm&Mgmt,42,67,40.89
930846,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,36,77,58,58,76,96,66.83333333,Comm&Mgmt,64.6,83.83,80
830636,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,40,38,19,6,53,57,35.5,Comm&Mgmt,56.6,64.8,74
2130634,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,59,72,22,93,67,56,61.5,Comm&Mgmt,59,62,60.4
3630174,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,80,67,52,53,78,69,66.5,Comm&Mgmt,66.5,70.4,63
531493,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,43,62,64,37,73,90,61.5,Comm&Mgmt,64,80,68
2131777,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,61,5,71,72,56,30,49.16666667,Comm&Mgmt,84,90.9,74
3330037,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,63,94,14,59,66,75,61.83333333,Comm&Mgmt,69,62,52.6
1030859,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,21,49,48,51,70,4,40.5,Comm&Mgmt,69,62,74
2756060,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,80,17,19,6,72,88,47,Comm&Mgmt,81.7,63,84.2
2132254,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,70,31,60,21,54,76,52,Comm&Mgmt,63,67,86.5
2778042,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,5,22,48,33,32,70,35,Comm&Mgmt,40,79,61
140008,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,88,92,25,83,98,66.5,Comm&Mgmt,70,63,80
1000075,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,20,45,59,73,62,90,58.16666667,Comm&Mgmt,83.84,89.83,54
2131018,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,32,89,91,20,76,58,61,Comm&Mgmt,62,63,83
940013,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,7,16,28,17,96,82,41,Comm&Mgmt,59.6,51,80.92
3530311,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,25,15,46,25,10,22,84,Sci&Tech,66,62,69.7
531037,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,65,70,58,4,67,78,57,Comm&Mgmt,84,75,73
2760102,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,16,30,79,51,60,93,54.83333333,Comm&Mgmt,85,90,82
2131823,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,52,82,33,92,31,72,60.33333333,Comm&Mgmt,52,57,75
1630931,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,87,13,24,82,47,16,44.83333333,Comm&Mgmt,60.23,69,84.86
930892,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,12,77,94,38,15,75,51.83333333,Comm&Mgmt,52,62,64.6
1530177,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,16,1,79,84,60,78,53,Comm&Mgmt,58,62,56.6
1930398,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,25,49,22,90,13,66,44.16666667,Comm&Mgmt,73,78,59
2131347,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,72,30,24,19,25,86,42.66666667,Comm&Mgmt,76,70,66.5
930139,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,70,67,64,58,12,88,64.33333333,Comm&Mgmt,49,62.5,64
2130213,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,39,36,11,93,98,52,54.83333333,Comm&Mgmt,69,73,84
530270,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,30,83,29,64,33,66,50.83333333,Comm&Mgmt,54,82,69
530271,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,39,25,26,82,76,26,45.66666667,Comm&Mgmt,67,91,69
530272,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,45,84,65,46,94,27,60.16666667,Comm&Mgmt,79.33,78.33,81.7
530273,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,71,90,68,55,69,25,63,Comm&Mgmt,65,68,63
530274,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,36,20,99,88,64,43,58.33333333,Comm&Mgmt,56,52,84
530275,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,99,49,73,90,22,99,72,Comm&Mgmt,85.8,73.6,70
530276,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,44,37,14,30,98,39,43.66666667,Comm&Mgmt,55,49.8,83.84
530277,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,58,40,30,71,47,21,44.5,Comm&Mgmt,46,49.2,62
530278,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,89,97,48,87,74,14,68.16666667,Comm&Mgmt,82,64,59.6
530279,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,92,19,77,4,62,36,48.33333333,Comm&Mgmt,73,79,66
530280,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,77,65,19,94,20,44,53.16666667,Comm&Mgmt,58,70,84
